Test Code,Animals (brackets in different format),,,Test Description,,Test Type,Turn around time,PVS Price (£),PVS Price 5+ (£),PVS Price 10+ (£),PVS Price Other (£),Medium Description,Farmfile SMS Description,Species List,Price List Categories List,In Surveillance (PVS) List,In Intravet,Is Active,Is Package,Package Notes,Constituent Tests List,UKAS Accred,UKAS Accred Notes,Diseases List,Submission Instructions,Sample Type,Sample Quantity,Datasheet List
TC0001A,"Farmed poultry (older than 2 weeks), Game birds (older than 2 weeks), Rabbits",Post mortem: single,"farmed poultry (older thean 2 weeks), game birds (older than 2 weeks), farmed rabbits",Post mortem of farmed poultry and game birds older than 2 weeks and farmed rabbits - single,,PME,,46.50,46.50,46.50,,PM-Fmd PoultryG/birdRabbit,Post mortem of farmed poultry and game birds older than 2 weeks and farmed rabbits - single,"Birds, Mammals",Post Mortem Examinations,TRUE,TRUE,TRUE,FALSE,,,Yes,PM.016,,,Whole animal,1,
TC0001B,"Farmed poultry (older than 2 weeks), Game birds (older than 2 weeks), Rabbits",Post mortem: batch up to 5,"farmed poultry (older thean 2 weeks), game birds (older than 2 weeks), farmed rabbits",Post mortem of farmed poultry and game birds older than 2 weeks and farmed rabbits - batch up to 5,,PME,,97.40,97.40,97.40,,PM-Fmd PoultryG/birdRabbit,Post mortem of farmed poultry and game birds older than 2 weeks and farmed rabbits - batch up to 5,"Birds, Mammals",Post Mortem Examinations,TRUE,TRUE,TRUE,FALSE,,,Yes,PM.016,,,Whole animal,Up to 5,
TC0002A,"Sheep, Goats, Deer, Pigs",Post mortem: single,"sheep, goats, deer, pigs","Post mortem: sheep, goats, deer and pigs - single",,PME,,80.30,80.30,80.30,,PM-Sheep Goat Deer Pig,"Post mortem: sheep, goats, deer and pigs - single","Deer, Goat, Pig, Sheep",Post Mortem Examinations,TRUE,TRUE,TRUE,FALSE,,,Yes,PM.016,,,Whole Animal,1,
TC0002B,"Sheep, Goats, Deer, Pigs",Post mortem: batch up to 3,"sheep, goats, deer, pigs","Post mortem: sheep, goats, deer and pigs - batch up to 3",,PME,,113.20,113.20,113.20,,PM-Sheep Goat Deer Pig,"Post mortem: sheep, goats, deer and pigs - batch up to 3","Deer, Goat, Pig, Sheep",Post Mortem Examinations,TRUE,TRUE,TRUE,FALSE,,,Yes,PM.016,,,,,
TC0003,Cattle (older than 12 months),,,"Post mortem examination: Cattle over 12 months, excluding disposal (TC1606)",,PME,,128.20,128.20,128.20,,PM - Cattle over 12 months,"Post mortem examination: Cattle over 12 months, excluding disposal (TC1606)",Cattle,"Other Cattle Tests, Post Mortem Examinations",TRUE,TRUE,TRUE,FALSE,,,Yes,PM.016,,,Whole animal,,
TC0004,"Reptiles, Small mammals, Birds, Ornamental fish",,,"Post mortem examination: Non-farmed: Reptiles, small mammals, birds and ornamental fish (all extra tests to be charged at the commercial price)",,PME,,146.00,146.00,146.00,,PM - non-farmed species,"Post mortem examination of non-farmed: reptiles, small mammals, birds and ornamental fish","Birds, Mammals",Post Mortem Examinations,TRUE,TRUE,TRUE,FALSE,,,Yes,PM.016,,,Whole animal,,
TC0005,All,,,"Post mortem: Carcase viscera including tests (excluding disposal, TC1605)",,PME,,68.90,68.90,68.90,,PME: Carcase viscera & tests,"Post mortem: carcase viscera including tests (excluding disposal, TC1605)",All,"Other Cattle Tests, Other Pig Tests, Other Sheep / Goat Tests, Post Mortem Examinations",TRUE,TRUE,TRUE,FALSE,,,Yes,PM.016,,,Organs,,
TC0008,All,,,Histology - Preparation of H&E stained section - routine size,,Histopathology,,15.00,15.00,15.00,,HistologyPrep H&E StainRoutine,Histology - Preparation of H&E stained section - routine size,All,Histopathology,TRUE,TRUE,TRUE,FALSE,,,No,,,,Fixed tissue,,
TC0010,All,,,Histology interpretation only (without preparation),,Histopathology,,26.80,26.80,26.80,,Histology examination only,Histology Examination Only,All,Histopathology,TRUE,TRUE,TRUE,FALSE,,,No,,,,Slide,,
TC0011,,,,"Sheep/goat and pig abortion - fetus(es) +/- placenta - from 1 dam (excluding disposal, TC1611)",,PME,,56.50,56.50,56.50,,Sheep/Goat/PigFetus+/-placta1D,"Sheep/Goat/Pig Fetus +/- placenta - 1 Dam (excluding disposal, TC1611)","Goat, Pig, Sheep","Abortion / Stillbirth, Other Pig Tests, Other Sheep / Goat Tests, Post Mortem Examinations",TRUE,TRUE,TRUE,FALSE,,,Yes,PM.016,,,"Fetus, Placenta",,
