Test Code,Animals (brackets in different format),,,Test Description,,Test Type,Turn around time,PVS Price (£),PVS Price 5+ (£),PVS Price 10+ (£),PVS Price Other (£),Medium Description,Farmfile SMS Description,Species List,Price List Categories List,In Surveillance (PVS) List,In Intravet,Is Active,Is Package,Package Notes,Constituent Tests List,UKAS Accred,UKAS Accred Notes,Diseases List,Submission Instructions,Sample Type,Sample Quantity,Datasheet List
TC0324,,,,A dual real-time PCR for the detection of B. divergens and A. phagocytophilum in cattle targeting Babesia spps. 18srRNA gene with a B. divergens specific probe and specific primers/probe targeting A. phagocytophilum msp2 gene (ApMSP2).,,PCR (real time),10,37.80,37.80,37.80,,B. divergens and A. phago PCR,Dual real-time PCR for the detection of B. divergens and A. phagocytophilum in cattle,Cattle,"Cattle Serology, Other Cattle Tests",TRUE,TRUE,TRUE,FALSE,,,No,,Babesia,Samples to CUSP must be accompanied with documentation. 1ml whole blood (EDTA) or 1g spleen required for extraction of DNA. Samples need to be as fresh as possible and can be stored +4oC prior to processing. Samples can also be stored at -20 and -80oC,1ml EDTA blood or 1g spleen,1m EDTA or 1g spleen,
TC0326,,,,Mycoplasma capricolum capripneumoniae (CCPP),,CFT,7,23.10,23.10,19.30,,M capricolum capripneumon CFT,CFT for M.capricolum capripneumoniae (CCPP),"Goat, Sheep",Sheep / Goat Serology,TRUE,TRUE,TRUE,FALSE,,,Yes,BA.270,Contagious Caprine Pleuropneumonia CCPP,,Serum,Minimum of 2ml clotted blood or 1ml serum,TC0326
TC0330,,,,Enterotoxigenic Esherichia coli virulence real-time PCR,,PCR (real time),10,50.20,50.20,50.20,,Esherichia coli virulence PCR,Enterotoxigenic Esherichia coli virulence real-time PCR,Pig,Microbiology,TRUE,TRUE,TRUE,FALSE,,,No,,E. coli,,Culture,,
TC0331,,,,Brachyspira culture,,Culture,12,36.00,36.00,36.00,,Brachyspira culture,Brachyspira culture,"Birds, Pig","Microbiology, Other Pig Tests",TRUE,TRUE,TRUE,FALSE,,,Yes,Culture done at Starcross. SOP BA.019.,,,Gastrointestinal tract samples,Intestinal and faecal samples or on transport swabs,
TC0332,,,,Brachyspira identification (as required),,ID,12,20.50,20.50,12.80,,Brachyspira ID,Brachyspira ID,"Birds, Pig","Microbiology, Other Pig Tests",TRUE,TRUE,TRUE,FALSE,,,Yes,Identification at BU SOP BA.502.,,,Faeces,Faeces sample or rectal swab in gel medium,
TC0333,,,,Admin Charge for SAC/SRUC Sub- contracted tests where samples are unsuitable for testing.,,Time,,,,,,Unfit sample handling charge,Admin Charge for SAC/SRUC Sub- contracted tests where samples are unsuitable for testing.,All,Miscellaneous Tests,TRUE,TRUE,TRUE,FALSE,,,No,,,,,,
TC0341,,,,Illumina library preparation from DNA samples for high thoughput sequencing (96-well plate),,Sequencing,20,4674.90,4674.90,4674.90,,96 plate DNA Seq High Throughp,Illumina library preparation from DNA samples for high thoughput sequencing (96-well plate),All,Miscellaneous Tests,TRUE,TRUE,TRUE,FALSE,,,Yes,"In progress, MB.040 MB.045",,,DNA (purified or cell lycate),20 ul,TC0341
TC0342,,,,High throughput sequencing of prepared libraries from DNA or RNA samples (MiSeq - up to 24 bacterial genomes or 6 tissue samples for virus sequencing),,Sequencing,20,1536.10,1536.10,1536.10,,HTP Sequencing DNA (MiSeq),High throughput sequencing of prepared DNA libraries (MiSeq),All,Miscellaneous Tests,TRUE,TRUE,TRUE,FALSE,,,Yes,"In progress, MB.040, MB.045",,,Sequencing libraries prepared using Illumina kits,,TC0341
TC0343,,,,High throughput sequencing of prepared libraries from DNA or RNA samples (NextSeq-MidOutput - up to 96 bacterial genomes or 20 tissue samples for virus sequencing),,Sequencing,20,2455.60,2455.60,2455.60,,Seq of DNA/RNA Libraries,High throughput sequencing of prepared libraries from DNA or RNA samples (NextSeq-MidOutput - up to,All,Miscellaneous Tests,TRUE,TRUE,TRUE,FALSE,,,Yes,"In progress, MB.040, MB.045",,,Sequencing libraries prepared using Illumina kits,,TC0341
TC0344,,,,Illumina library preparation from DNA samples for high throughput sequencing (individual samples),,Sequencing,20,82.20,82.20,82.20,,DNA Seq - Ind High Throughput,Illumina library preparation from DNA samples for high throughput sequencing (individual samples),All,Miscellaneous Tests,TRUE,TRUE,TRUE,FALSE,,,Yes,In progress - MB.040,,,DNA (purified or cell lysate),20 ul,TC0341
TC0345,,,,Illumina library preparation from RNA samples for high throughput sequencing (individual samples),,Sequencing,20,91.90,91.90,91.90,,Library Prep from RNA -individ,Illumina library preparation from RNA samples for high throughput sequencing (individual samples),All,Miscellaneous Tests,TRUE,TRUE,TRUE,FALSE,,,Yes,"In progress, MB.040, MB.045",,,Purified RNA,20 ul,TC0341
TC0346,,,,High throughput sequencing of prepared libraries from DNA or RNA samples (NextSeq-HighOutput - up to 50 tissue samples for virus sequencing),,Sequencing,20,4472.00,4472.00,4472.00,,DNA/RNA Library Seq - up to 50,High throughput sequencing of prepared libraries from DNA or RNA (up to 50 tissue samples),All,Miscellaneous Tests,TRUE,TRUE,TRUE,FALSE,,,Yes,"In progress MB.040, MB.045",,,Sequencing libraries prepared using Illumina kits,,TC0341
TC0348,,,,Pan Lyssavirus SYBR Real Time PCR,,RT PCR (real time),5,220.80,220.80,220.80,,Pan Lyssavirus SYBR RT-PCR,Pan Lyssavirus SYBR Real Time PCR measuring viral RNA,All,"Other Species Virology, Bacteriology & Parasitology",TRUE,TRUE,TRUE,FALSE,,,Yes,,Lyssavirus,,Brain,100mg,
TC0349,,,,Pan Lyssavirus SYBR real-time RT-PCR (80 day max Turnaround),,PCR,80,34.80,34.80,34.80,,Pan Lyssavirus SYBR RT PCR,Pan Lyssavirus SYBR real-time RT-PCR (80 day max Turnaround),Mammals,"Other Species Virology, Bacteriology & Parasitology",TRUE,TRUE,TRUE,FALSE,,,Yes,,Lyssavirus,,Tissue (preferably brain) or tissue culture or oral swab RNA,100mg tissue or 0.1ml tissue culture or one oral swab,
TC0358,,,,Border disease virus in pooled sera samples (up to 10),,RT PCR,7,40.40,40.40,40.40,,BDV in pooled sera,Border disease virus in pooled sera samples (up to 10),Sheep,Sheep / Goat Virology,TRUE,TRUE,TRUE,FALSE,,,No,,Border disease,,Red Top Blood,5ml,
TC0359,,,,EIAV Ab detection using ID Vet ELISA,,ELISA,7,22.50,22.50,22.50,,EIAV IDVET ELISA,Equine Infectious Aneamia Virus Antibody detection using ID Vet ELISA,Horse,Equine Serology,TRUE,TRUE,TRUE,FALSE,,,No,,Equine infectious anaemia (Coggins),,"1ml Serum, 2ml Whole blood","1ml Serum, 2ml Whole blood",TC0359
TC0361,,,,Erysipelothrix (Erysipelas),,SAT,7,16.40,16.40,16.40,,Erysipelas SAT,SAT for Erysipelas,"Birds, Mammals","Avian Serology, Cattle Serology, Pig Serology, Sheep / Goat Serology",TRUE,TRUE,TRUE,FALSE,,,Yes,BA.125,Erysipelothrix (erysipelas),,Serum,Minimum of 2ml clotted blood or 1ml serum,
TC0363,,,,"Actinobacillus pleuropneumoniae - serotypes 3, 6 & 8",,CFT Package,10,110.50,110.50,81.80,,"A pleuropneum CFT(Types 3,6,8)","CFT for A.pleuropneumoniae - (Types 3,6,8) Package",Pig,Pig Serology,TRUE,TRUE,TRUE,FALSE,,,Yes,SE.071,Actinobacillus pleuropneumoniae,,Serum,Minimum of 2ml clotted blood or 1ml serum,
TC0364,,,,Histophilus somni (H. somnus),,CFT,10,37.10,37.10,37.10,,Histophilus somni CFT,CFT for Histophilus somni (H. somnus),Cattle,Cattle Serology,TRUE,TRUE,TRUE,FALSE,,,Yes,SE.073,Histophilus somni,,Serum,Minimum of 2ml clotted blood or 1ml serum,
TC0366,,,,Johnes (Mycobacterium avium subspecies paratuberculosis) serum antibody detection ELISA,,Ab ELISA,7,6.50,6.50,6.50,,Johnes Dis Ab ELISA(serum),ELISA for M. paratuberculosis Ab (Johnes Disease) in serum,"Cattle, Goat, Sheep","Cattle Serology, Sheep / Goat Serology",TRUE,TRUE,TRUE,FALSE,,,Yes,,Johnes Disease,,Serum or clotted blood,Minimum of 2ml clotted blood or 1ml serum,TC0366
TC0367,,,,Infectious bovine rhinotracheitis - for use when a quantitative result is required eg diagnosis,,iELISA,7,7.30,7.30,7.30,,IBR iELISA,Infectious bovine rhinotracheitis - for use when a quantitative result is required eg diagnosis,Cattle,Cattle Serology,TRUE,TRUE,TRUE,FALSE,,,Yes,VI.035,Infectious bovine rhinotracheitis,,Serum or clotted blood,Minimum of 2ml clotted blood or 1ml serum,TC0367
TC0368,,,,Mycobacterium paratuberculosis (Johne's Disease),,CFT,10,43.30,43.30,38.40,,Johnes Disease CFT,CFT for Johnes Disease,"Cattle, Goat, Sheep","Cattle Serology, Other Species Serology, Sheep / Goat Serology",TRUE,TRUE,TRUE,FALSE,,,Yes,SE.064,Johnes Disease,,Serum,Minimum of 2ml clotted blood or 1ml serum,
TC0373,,,,Maedi-visna,,AGIDT,5,12.70,12.70,10.80,,Maedi-visna AGIDT,AGIDT for Maedi-visna,Sheep,Sheep / Goat Serology,TRUE,TRUE,TRUE,FALSE,,,Yes,SE.004,Maedi-Visna,,Serum,Minimum of 2ml clotted blood or 1ml serum,
TC0375,,,,Porcine parvovirus - for fetal fluids,,HAIT,15,41.80,41.80,37.30,,Porcine Parvov(fetal fld) HAIT,HI for Porcine Parvovirus - for fetal fluids,Pig,Pig Serology,TRUE,TRUE,TRUE,FALSE,,,Yes,VI.006,Porcine parvovirus,,"Fetal fluid, serum",0.5ml,
TC0376,,,,Parainfluenza 3,,ELISA,7,11.20,11.20,11.20,,Parainfluenza 3 ELISA,ELISA for PI3,Cattle,Cattle Serology,TRUE,TRUE,TRUE,FALSE,,,Yes,VI.037,Parainfluenza 3,,Serum,Minimum of 2ml clotted blood or 1ml serum,TC0376
TC0379,,,,Respiratory syncitial virus,,ELISA,7,10.90,10.90,10.90,,Respiratory syncitialVir ELISA,ELISA for RSV,Cattle,Cattle Serology,TRUE,TRUE,TRUE,FALSE,,,Yes,VI.036,Respiratory syncitial virus,,Serum,Minimum of 2ml clotted blood or 1ml serum,TC0379
TC0383,,,,Toxoplasma antibody,,LAT,7,12.50,12.50,12.50,,Toxoplasma Antibody LAT,LAT for Toxoplasma,"Cattle, Goat, Sheep","Other Species Serology, Pig Serology, Sheep / Goat Serology",TRUE,TRUE,TRUE,FALSE,,,Yes,PA.006,Toxoplasma,,Serum,Minimum of 2ml clotted blood or 1ml serum,
TC0390,,,,Bovine viral diarrhoea antibody ELISA,,ELISA,7,4.50,4.50,4.50,,BVD/Mucosal Disease Ab ELISA,IDEXX BVDV Total Ab X3,Cattle,Cattle Serology,TRUE,TRUE,TRUE,FALSE,,,No,,Bovine viral diarrhoea,,Serum or plasma,"Minimum of 2ml clotted blood, 1ml serum or 2ml heparinised blood",TC0390
TC0391,,,,Louping ill,,HAIT,10,15.70,15.70,15.70,,Louping ill HAIT,HAIT for Louping ill,"Goat, Sheep",Sheep / Goat Serology,TRUE,TRUE,TRUE,FALSE,,,No,,Louping ill,,Serum,,
TC0394,,,,Brucella (abortus/melitensis/suis) TUBE test,,SAT (tube test),7,15.00,15.00,12.70,,Br abort/melit/suis SAT TUBE,Brucella (abortus/melitensis/suis) TUBE test,"Cattle, Goat, Horse, Sheep","Cattle Serology, Pig Serology, Sheep / Goat Serology",TRUE,TRUE,TRUE,FALSE,,,No,BA.265 test change in progress for this test code,Brucella,,Serum or clotted blood,Minimum of 2ml clotted blood or 1ml serum,
TC0397,,,,"Avian Metapneumovirus (aMPV) subtypes A, B & C in pooled swabs using real time RT-PCR",,RT PCR (real time),7,31.40,31.40,31.40,,"aMPV subtypes A, B C pooled","Avian Metapneumovirus (aMPV) subtypes A, B & C in pooled swabs using real time RT-PCR",Birds,Other Avian Tests,TRUE,TRUE,TRUE,FALSE,,,No,,"Avian metapneumovirus (aMPV) subtypes A, B and C",Dry plastic or metal stemmed swabs should be used. Refrigerate samples after collection and freeze if delays of over 48 hours are unavoidable,Oropharyngeal or tracheal swabs,,
TC0398,,,,"PEDV, TGEV and PDCoV - detection by multiplex real time PCR",,RT PCR (real time),20,44.60,44.60,44.60,,"PEDV, TGEV and PDCoV PCR","Porcine enteric coronavirus multiplex PCR (PEDV, TGEV, PDCoV)",Pig,Pig Virology,TRUE,TRUE,TRUE,FALSE,,,No,,Porcine epidemic diarrhoea,General submission form,Preferably rectal swab or 2g of faeces or intestinal content,2g,
TC0399,,,,Leptospira - 6 pools - 19 serovar screening test only,,MAT,7,43.50,43.50,43.50,,Leptospira pools screening MAT,MAT for Leptospira pools - multiple serovar screening test only,"Cattle, Goat, Other, Pig, Sheep","Cattle Serology, Other Species Serology, Pig Serology, Sheep / Goat Serology",TRUE,TRUE,TRUE,FALSE,,,Yes,BA.272,Leptospirosis,,Serum,Minimum of 2ml clotted blood or 1ml serum,
TC0400,,,,Mycoplasma bovis,,ELISA,7,8.90,8.90,8.90,,Mycoplasma bovis ELISA,ELISA for Mycoplasma bovis,Cattle,Cattle Serology,TRUE,TRUE,TRUE,FALSE,,,Yes,BAC0112,Mycoplasma,,Serum or clotted blood,Minimum of 2ml clotted blood or 1ml serum,
TC0401,,,,Antibiotic sensitivity - aerobe (per plate used),,Disc diffusion,5,17.60,17.60,17.60,,Antibiotic Sensitivity,Antibiotic Sensitivity,All,Microbiology,TRUE,TRUE,TRUE,FALSE,,,Yes,BA.016,,,"Culture, swab","Culture on slope, agar plate or transport swab",
TC0406,,,,Talfan,,SNT,12,69.60,69.60,69.60,,Talfan SNT,SNT for Talfan,Pig,Pig Serology,TRUE,TRUE,TRUE,FALSE,,,Yes,VI.086,Talfan,,Serum,Minimum of 2ml clotted blood or 1ml serum,
TC0408,,,,Coccidial oocyst sporulation & identification ovine and non-bovine,,ID,7,35.90,35.90,35.90,,Coccidial Oocyst Sporuln&ID,Coccidial oocyst sporulation & identification ovine and non-bovine,All,Parasitology,TRUE,TRUE,TRUE,FALSE,,,No,,Coccidia,,Faeces,,
TC0411,,,,Hookworm,,Worm egg count,5,37.20,37.20,37.20,,Hookworm Egg Count,Hookworm Egg Count,Dog,"Other Species Virology, Bacteriology & Parasitology, Parasitology",TRUE,TRUE,TRUE,FALSE,,,Yes,PA.011,Hookworm,,Faeces,Minimum 3g,
TC0412,,,,Porcine Reproductive & Respiratory Syndrome,,Ab ELISA,7,10.60,10.60,7.80,,PRRS Ab ELISA,ELISA for PRRS,Pig,Pig Serology,TRUE,TRUE,TRUE,FALSE,,,Yes,VI.040,PRRS virus,,Serum,Minimum of 2ml clotted blood or 1ml serum,TC0412
TC0417,,,,Detection of Chlamydia psittaci and Chlamydia abortus by Real-Time PCR,,PCR,10,60.80,60.80,60.80,,C.psittaci & C.abortus RT-PCR,Detection of Chlamydia psittaci and Chlamydia abortus by Real-Time PCR.,All,"Microbiology, Other Avian Tests, Other Sheep / Goat Tests",TRUE,TRUE,TRUE,FALSE,,,No,,Chlamydophila abortus (EAE),,"Ruminant Tissue, Avian tissue and Faeces",2g,
TC0422,,,,Bovine herpes mamillitis (Bovine herpes virus-2),,SNT,12,69.50,69.50,69.50,,BHM / BHV-2 SNT,SNT for BHM / BHV-2,Cattle,Cattle Serology,TRUE,TRUE,TRUE,FALSE,,,Yes,VI.084,Bovine herpes mamillitis (Bovine herpes virus-2),,Serum,Minimum of 2ml clotted blood or 1ml serum,
TC0432,,,,Swine influenza: swine H1N1 (classical),,HAIT,12,20.60,20.60,20.60,,Swine H1N1 ClassSwine'flu HAIT,HAIT for swine H1N1 (classical) Swine influenza,Pig,Pig Serology,TRUE,TRUE,TRUE,FALSE,,,Yes,VIR0206.,Swine influenza,,Serum,Minimum of 2ml clotted blood or 1ml serum,
TC0433,,,,Swine influenza: swine H3N2,,HAIT,12,20.60,20.60,20.60,,Swine H3N2 Swine 'flu HAIT,HAIT for swine H3N2 Swine influenza,Pig,Pig Serology,TRUE,TRUE,TRUE,FALSE,,,Yes,VIR0206.,Swine influenza,,Serum,Minimum of 2ml clotted blood or 1ml serum,
TC0434,,,,Swine influenza: avian-like H1N1 (195852),,HAIT,12,19.90,19.90,19.90,,Swine (avian-like) H1N1 HAIT,HAIT for avian-like H1N1 (195852) Swine influenza,Pig,Pig Serology,TRUE,TRUE,TRUE,FALSE,,,Yes,VIR0206.,Swine influenza,,Serum,Minimum of 2ml clotted blood or 1ml serum,
TC0435,,,,Swine influenza: swine H1N2,,HAIT,12,20.60,20.60,20.60,,Swine H1N2 Swine 'flu HAIT,HAIT for swine H1N2 Swine influenza,Pig,Pig Serology,TRUE,TRUE,TRUE,FALSE,,,Yes,VIR0206.,Swine influenza,,Serum,Minimum of 2ml clotted blood or 1ml serum,
TC0441,,,,"Leptospira - Pool 3 (L. australis, bratislava, autumnalis)",,MAT,7,46.60,46.60,31.50,,Leptospira Pool 3 MAT,"MAT for Leptospira Pool 3 (L. australis,bratislava,autumnalis)","Cattle, Goat, Pig, Sheep","Cattle Serology, Pig Serology, Sheep / Goat Serology",TRUE,TRUE,TRUE,FALSE,,,Yes,BA.272,Leptospirosis,,Serum,Minimum of 2ml clotted blood or 1ml serum,
TC0444,,,,Leptospira - Pool 6 (L. hardjo prajitno & hardjo bovis),,MAT,7,31.00,31.00,19.60,,Leptospira Pool 6 MAT,MAT for Leptospira Pool 6 (L. hardjo prajitno & hardjo bovis),Cattle,Cattle Serology,TRUE,TRUE,TRUE,FALSE,,,Yes,BA.272,Leptospirosis,,Serum,Minimum of 2ml clotted blood or 1ml serum,
TC0446,,,,Mycoplasma hyopneumoniae Indirect ELISA (IDEXX),,ELISA,7,10.80,10.80,10.80,,Mycoplasma hyopneumoniae ELISA,Mycoplasma hyopneumoniae Indirect ELISA (IDEXX),Pig,Pig Serology,TRUE,TRUE,TRUE,FALSE,,,No,,Porcine Respiratory Disease,,Serum,1 ml,TC0446
TC0447,,,,Leptospira australis,,MAT,7,16.30,16.30,12.10,,Leptospira australis MAT,MAT for L.australis,"Cattle, Horse, Pig","Cattle Serology, Equine Serology, Pig Serology",TRUE,TRUE,TRUE,FALSE,,,Yes,BA.273,Leptospirosis,,"Serum, Foetal fluid",Minimum of 2ml clotted blood or 1ml serum,TC0447 - TC0468
TC0448,,,,Leptospira autumnalis,,MAT,7,16.30,16.30,12.10,,Leptospira autumnalis MAT,MAT for L.autumnalis,"Cattle, Pig","Cattle Serology, Pig Serology",TRUE,TRUE,TRUE,FALSE,,,Yes,BA.273,Leptospirosis,,"Serum, Foetal fluid",Minimum of 2ml clotted blood or 1ml serum,TC0447 - TC0468
TC0449,,,,Leptospira ballum,,MAT,7,16.30,16.30,12.10,,Leptospira ballum MAT,MAT for L.ballum,"Cattle, Pig","Cattle Serology, Pig Serology",TRUE,TRUE,TRUE,FALSE,,,Yes,BA.273,Leptospirosis,,"Serum, Foetal fluid",Minimum of 2ml clotted blood or 1ml serum,TC0447 - TC0468
TC0450,,,,Leptospira bataviae,,MAT,7,16.30,16.30,12.10,,Leptospira bataviae MAT,MAT for L.bataviae,"Cattle, Horse","Cattle Serology, Equine Serology",TRUE,TRUE,TRUE,FALSE,,,Yes,BA.273,Leptospirosis,,"Serum, Foetal fluid",Minimum of 2ml clotted blood or 1ml serum,TC0447 - TC0468
TC0451,,,,Leptospira bratislava,,MAT,7,12.20,12.20,12.20,,Leptospira bratislava MAT,MAT for L.bratislava,"Cattle, Horse, Other, Pig","Cattle Serology, Equine Serology, Other Species Serology, Pig Serology",TRUE,TRUE,TRUE,FALSE,,,Yes,BA.273,Leptospirosis,,"Serum, Foetal fluid",Minimum of 2ml clotted blood or 1ml serum,TC0447 - TC0468
TC0452,,,,Leptospira canicola,,MAT,7,13.10,13.10,9.70,,Leptospira canicola MAT,MAT for L.canicola,"Cattle, Other, Pig","Cattle Serology, Other Species Serology, Pig Serology",TRUE,TRUE,TRUE,FALSE,,,Yes,BA.273,Leptospirosis,,"Serum, Foetal fluid",Minimum of 2ml clotted blood or 1ml serum,TC0447 - TC0468
TC0453,,,,Leptospira copenhageni,,MAT,7,16.30,16.30,12.10,,Leptospira copenhageni MAT,MAT for L.copenhageni,"Cattle, Other, Pig","Cattle Serology, Other Species Serology, Pig Serology",TRUE,TRUE,TRUE,FALSE,,,Yes,BA.273,Leptospirosis,,"Serum, Foetal fluid",Minimum of 2ml clotted blood or 1ml serum,TC0447 - TC0468
TC0454,,,,Leptospira grippotyphosa,,MAT,7,16.30,16.30,12.10,,Leptospira grippotyphosa MAT,MAT for L.grippotyphosa,"Cattle, Pig","Cattle Serology, Pig Serology",TRUE,TRUE,TRUE,FALSE,,,Yes,BA.273,Leptospirosis,,"Serum, Foetal fluid",Minimum of 2ml clotted blood or 1ml serum,TC0447 - TC0468
TC0455,,,,Leptospira hardjo prajitno,,MAT,7,16.30,16.30,12.10,,Leptospira hardjo prajitno MAT,MAT for L.hardjo prajitno,"Cattle, Goat, Sheep","Cattle Serology, Sheep / Goat Serology",TRUE,TRUE,TRUE,FALSE,,,Yes,BA.273,Leptospirosis,,"Serum, Foetal fluid",Minimum of 2ml clotted blood or 1ml serum,TC0447 - TC0468
TC0456,,,,Leptospira hardjo bovis,,MAT,7,10.00,10.00,10.00,,Leptospira hardjo bovis MAT,MAT for L.hardjo bovis,"Cattle, Goat, Sheep","Cattle Serology, Sheep / Goat Serology",TRUE,TRUE,TRUE,FALSE,,,Yes,BA.273,Leptospirosis,,"Serum, Foetal fluid",Minimum of 2ml clotted blood or 1ml serum,TC0447 - TC0468
TC0457,,,,Leptospira hebdomadis,,MAT,7,16.30,16.30,12.10,,Leptospira hebdomadis MAT,MAT for L.hebdomadis,Cattle,Cattle Serology,TRUE,TRUE,TRUE,FALSE,,,Yes,BA.273,Leptospirosis,,"Serum, Foetal fluid",Minimum of 2ml clotted blood or 1ml serum,TC0447 - TC0468
TC0458,,,,Leptospira icterohaemorrhagiae,,MAT,7,16.30,16.30,12.10,,Leptospira icterohaemorrhg MAT,MAT for L.icterohaemorrhagiae,"Cattle, Other, Pig","Cattle Serology, Other Species Serology, Pig Serology",TRUE,TRUE,TRUE,FALSE,,,Yes,BA.273,Leptospirosis,,"Serum, Foetal fluid",Minimum of 2ml clotted blood or 1ml serum,TC0447 - TC0468
TC0459,,,,Leptospira javanica,,MAT,7,16.30,16.30,12.10,,Leptospira javanica MAT,MAT for L.javanica,"Cattle, Pig","Cattle Serology, Pig Serology",TRUE,TRUE,TRUE,FALSE,,,Yes,BA.273,Leptospirosis,,"Serum, Foetal fluid",Minimum of 2ml clotted blood or 1ml serum,TC0447 - TC0468
TC0460,,,,\\Leptospira mini,,MAT,7,16.30,16.30,12.10,,Leptospira mini MAT,MAT for L.mini,Cattle,Cattle Serology,TRUE,TRUE,TRUE,FALSE,,,Yes,BA.273,Leptospirosis,,"Serum, Foetal fluid",Minimum of 2ml clotted blood or 1ml serum,TC0447 - TC0468
TC0461,,,,Leptospira mozdok,,MAT,7,16.30,16.30,12.10,,Leptospira mozdok MAT,MAT for L.mozdok,"Cattle, Pig","Cattle Serology, Pig Serology",TRUE,TRUE,TRUE,FALSE,,,Yes,BA.273,Leptospirosis,,"Serum, Foetal fluid",Minimum of 2ml clotted blood or 1ml serum,TC0447 - TC0468
TC0462,,,,Leptospira pomona,,MAT,7,12.20,12.20,12.20,,Leptospira pomona MAT,MAT for L.pomona,"Cattle, Horse, Pig","Cattle Serology, Equine Serology, Pig Serology",TRUE,TRUE,TRUE,FALSE,,,Yes,BA.273,Leptospirosis,,"Serum, Foetal fluid",Minimum of 2ml clotted blood or 1ml serum,TC0447 - TC0468
TC0464,,,,Leptospira sejroe,,MAT,7,16.30,16.30,12.10,,Leptospira sejroe MAT,MAT for L.sejroe,"Cattle, Pig","Cattle Serology, Pig Serology",TRUE,TRUE,TRUE,FALSE,,,Yes,BA.273,Leptospirosis,,"Serum, Foetal fluid",Minimum of 2ml clotted blood or 1ml serum,TC0447 - TC0468
TC0465,,,,Leptospira tarassovi,,MAT,7,16.30,16.30,12.10,,Leptospira tarassovi MAT,MAT for L.tarassovi,"Cattle, Horse, Pig","Cattle Serology, Equine Serology, Pig Serology",TRUE,TRUE,TRUE,FALSE,,,Yes,BA.273,Leptospirosis,,"Serum, Foetal fluid",Minimum of 2ml clotted blood or 1ml serum,TC0447 - TC0468
TC0466,,,,Leptospira zanoni,,MAT,7,16.30,16.30,12.10,,Leptospira zanoni MAT,MAT for L.zanoni,Cattle,Cattle Serology,TRUE,TRUE,TRUE,FALSE,,,Yes,BA.273,Leptospirosis,,"Serum, Foetal fluid",Minimum of 2ml clotted blood or 1ml serum,TC0447 - TC0468
TC0468,,,,Leptospira poi,,MAT,7,16.30,16.30,12.10,,Leptospira poi MAT,MAT for L. poi,"Cattle, Pig","Cattle Serology, Pig Serology",TRUE,TRUE,TRUE,FALSE,,,Yes,BA.273,Leptospirosis,,Serum,Minimum of 2ml clotted blood or 1ml serum,TC0447 - TC0468
TC0471,,,,Mycoplasma capricolum,,CFT,7,27.30,27.30,27.30,,Mycoplasma capricolum CFT,CFT for M. capricolum (Contagious agalactia),"Goat, Sheep",Sheep / Goat Serology,TRUE,TRUE,TRUE,FALSE,,,Yes,BA.269,Mycoplasma,,Serum,Minimum of 2ml clotted blood or 1ml serum,TC0471
TC0473,,,,Mycoplasma mycoides capri / mycoides LC,,CFT,7,26.90,26.90,26.90,,M mycoides capri / LC CFT,CFT for M. mycoides capri / mycoides LC,"Goat, Sheep",Sheep / Goat Serology,TRUE,TRUE,TRUE,FALSE,,,Yes,BA.269,Mycoplasma,,Serum,Minimum of 2ml clotted blood or 1ml serum,TC0473
TC0480,,,,Actinobacillus pleuropneumoniae Type 6,,CFT,10,41.80,41.80,25.10,,A pleuropneumoniae Type 6 CFT,CFT for A.pleuropneumoniae Type 6,Pig,Pig Serology,TRUE,TRUE,TRUE,FALSE,,,Yes,SE.071,Actinobacillus pleuropneumoniae,,Serum,Minimum of 2ml clotted blood or 1ml serum,
TC0486,,,,Actinobacillus pleuropneumoniae Type 3,,CFT,10,41.80,41.80,30.00,,A pleuropneumoniae Type 3 CFT,CFT for A.pleuropneumoniae Type 3,Pig,Pig Serology,TRUE,TRUE,TRUE,FALSE,,,Yes,SE.071,Actinobacillus pleuropneumoniae,,Serum,Minimum of 2ml clotted blood or 1ml serum,
TC0487,,,,Actinobacillus pleuropneumoniae Type 8,,CFT,10,41.80,41.80,30.00,,A pleuropneumoniae Type 8 CFT,CFT for A.pleuropneumoniae Type 8,Pig,Pig Serology,TRUE,TRUE,TRUE,FALSE,,,Yes,SE.071,Actinobacillus pleuropneumoniae,,Serum,Minimum of 2ml clotted blood or 1ml serum,
TC0488,,,,Transmissible gastroenteritis/Porcine respiratory coronavirus antibody (differentiates),,ELISA (diff.),7,14.60,14.60,14.60,,TGE/PRCV ELISA(differentiates),ELISA (Differential) for TGE/PRCV,Pig,Pig Serology,TRUE,TRUE,TRUE,FALSE,,,Yes,VI.091,Transmissible gastroenteritis (TGE/PED or TGE/PRCV,,Serum or clotted blood,Minimum of 2ml clotted blood or 1ml serum,
TC0491,,,,Giardia,,Flotation method,5,31.00,31.00,31.00,,Giardia by flotation method,Flotation method for Giardia,All,Parasitology,TRUE,TRUE,TRUE,FALSE,,,No,PA.015,Giardia,,Faeces,5g,
TC0492,,,,Cryptosporidia smear & ID,,Smear and ID,3,24.40,24.40,24.40,,Crypto smear & ID,Crypto smear & ID,All,Parasitology,TRUE,TRUE,TRUE,FALSE,,,Yes,PA.001,Cryptosporidium,,Faeces,,
